Codec,Name,WavLM ERM,WavLM DANN,Wav2Vec2 ERM,Wav2Vec2 DANN v1,WavLM Δ,W2V2 Δ
C01,AMR-WB,7.53%,6.38%,12.05%,11.30%,-1.15,-0.75
C02,EVS,6.67%,5.61%,12.93%,11.04%,-1.06,-1.89
C03,G.722,7.27%,6.82%,14.12%,12.08%,-0.45,-2.04
C04,G.726,10.50%,9.44%,14.85%,13.35%,-1.06,-1.50
C05,GSM-FR,6.58%,4.84%,10.85%,10.20%,-1.74,-0.65
C06,iLBC,8.06%,6.17%,12.67%,12.67%,-1.90,+0.00
C07,MP3,11.65%,10.54%,15.67%,14.28%,-1.11,-1.39
C08,Opus,9.70%,9.22%,22.85%,13.36%,-0.48,-9.50
C09,Speex,9.96%,9.06%,19.28%,14.55%,-0.91,-4.73
C10,Vorbis,11.14%,10.27%,21.95%,15.23%,-0.86,-6.72
C11,μ-law,8.25%,6.96%,21.45%,12.66%,-1.28,-8.79
NONE,Uncoded,6.12%,4.38%,10.27%,10.12%,-1.75,-0.15
